price,brand,ram,ram_type,display_size,display_type,pixels,screen_rate,screen_panel,length,width,height,cpu_brand,gpu_brand,hdd,ssd,OS,weight,cpu_point,gpu_point,fingerprint_reader,web_camera
894.99,HP,16.0,DDR4,15.6,HD,1049088.0,60.0,TN,358.5,242.0,19.9,INTEL,INTEL,0.0,512.0,WINDOWS,1.75,5125.0,1435.0,1.0,0.0
1979.0,HP,64.0,DDR4,15.6,HD,1049088.0,60.0,TN,358.5,242.0,19.9,INTEL,INTEL,0.0,1000.0,WINDOWS,1.75,5002.0,1097.0,1.0,0.0
419.0,LENOVO,20.0,DDR4,14.0,HD,1049088.0,60.0,TN,325.3,216.5,17.9,INTEL,INTEL,0.0,1000.0,WINDOWS,1.32,4037.0,1191.0,1.0,0.0
1019.0,HP,32.0,DDR4,17.3,HD+,1440000.0,60.0,TN,400.0,257.8,20.6,INTEL,INTEL,0.0,1000.0,WINDOWS,2.05,7885.0,1435.0,1.0,0.0
904.99,HP,8.0,DDR4,17.3,FHD,2073600.0,60.0,IPS,415.0,272.0,25.0,INTEL,INTEL,0.0,2000.0,WINDOWS,2.45,5002.0,1097.0,1.0,0.0
2999.0,DELL,16.0,LPDDR4X,16.0,WQUXGA,9216000.0,60.0,OLED,356.78,251.88,15.9,INTEL,NVIDIA,0.0,2000.0,WINDOWS,2.06,9933.0,2373.0,1.0,0.0
809.0,DELL,16.0,LPDDR4,13.3,FHD,2073600.0,60.0,IPS,305.7,207.5,16.9,INTEL,INTEL,0.0,1000.0,WINDOWS,1.2,4769.0,1097.0,0.0,1.0
4129.0,MSI,32.0,DDR5,15.6,QHD,3686400.0,240.0,IPS,358.0,267.0,23.4,INTEL,NVIDIA,0.0,2000.0,WINDOWS,2.38,15486.0,12769.0,1.0,0.0
2619.99,DELL,32.0,DDR5,15.6,FHD+,2304000.0,60.0,IPS,344.4,230.14,11.65,INTEL,NVIDIA,0.0,2000.0,WINDOWS,1.84,15486.0,4713.0,1.0,0.0
3099.99,DELL,64.0,DDR5,15.6,FHD+,2304000.0,60.0,IPS,344.4,230.14,11.65,INTEL,NVIDIA,0.0,4000.0,WINDOWS,1.84,15486.0,4713.0,1.0,0.0
1149.99,MSI,32.0,LPDDR4X,14.0,FHD,2073600.0,60.0,IPS,319.0,219.0,15.9,INTEL,INTEL,0.0,512.0,WINDOWS,1.29,13075.0,1435.0,1.0,0.0
669.0,HP,16.0,DDR4,15.6,FHD,2073600.0,60.0,IPS,358.0,242.0,17.9,INTEL,INTEL,0.0,512.0,WINDOWS,1.7,5002.0,1097.0,0.0,1.0
1389.99,ACER,64.0,DDR4,15.6,FHD,2073600.0,144.0,IPS,363.4,255.0,23.9,INTEL,NVIDIA,0.0,4000.0,WINDOWS,2.2,12390.0,5970.0,1.0,0.0
448.0,LENOVO,4.0,DDR4,14.0,FHD,2073600.0,60.0,IPS,321.5,217.5,17.9,AMD,AMD,0.0,128.0,WINDOWS,1.5,5296.0,746.0,1.0,0.0
869.99,HP,8.0,DDR4,15.6,FHD,2073600.0,60.0,IPS,359.4,233.9,19.9,INTEL,INTEL,0.0,256.0,WINDOWS,1.74,7885.0,1435.0,0.0,1.0
1749.0,LENOVO,32.0,DDR4,16.0,QHD,4096000.0,165.0,IPS,356.0,264.2,21.7,AMD,NVIDIA,0.0,2000.0,WINDOWS,2.45,12472.0,8841.0,1.0,0.0
1599.99,MSI,16.0,DDR4,17.3,FHD,2073600.0,144.0,IPS,398.0,273.0,25.2,INTEL,NVIDIA,0.0,1000.0,WINDOWS,2.6,15486.0,8290.0,1.0,0.0
349.99,ASUS,4.0,DDR4,14.0,FHD,2073600.0,60.0,IPS,324.9,215.0,17.9,INTEL,INTEL,0.0,128.0,WINDOWS,1.4,2015.0,425.0,0.0,0.0
