Product Name,Product Link,Processor,Internal memory,Video card,Display,Solid-state drive,Price,Hard drive
Lenovo ThinkBook 15 Gen 3,https://laptopmedia.com/laptop-specs/lenovo-thinkbook-15-gen-3-337/,AMD Ryzen 7 5700U,16GB RAM,"AMD Radeon RX Vega 8 (R4000/5000, 15W)","15.6”, Full HD (1920 x 1080), IPS",1000GB SSD,$104999,
Lenovo ThinkBook 15 Gen 3,https://laptopmedia.com/laptop-specs/lenovo-thinkbook-15-gen-3-336/,AMD Ryzen 7 5700U,24GB RAM,"AMD Radeon RX Vega 8 (R4000/5000, 15W)","15.6”, Full HD (1920 x 1080), IPS",1000GB SSD,$109999,
HP ENVY x360 15,https://laptopmedia.com/laptop-specs/hp-envy-x360-15-4253/,Intel Core i7-1195G7,24GB RAM,Intel Iris Xe Graphics G7 (96EU),"15.6”, Full HD (1920 x 1080), IPS",1000GB SSD,$124900,
HP ENVY x360 15,https://laptopmedia.com/laptop-specs/hp-envy-x360-15-4217/,AMD Ryzen 7 5825U,16GB RAM,"AMD Radeon RX Vega 8 (R4000/5000, 15W)","15.6”, Full HD (1920 x 1080), IPS",1000GB SSD,$114999,
HP 14,https://laptopmedia.com/laptop-specs/hp-14-5015/,AMD Ryzen 3 3250U,24GB RAM,AMD Radeon RX Vega 3,"14.0”, Full HD (1920 x 1080), IPS",512GB SSD,$66999,
HP ENVY 17,https://laptopmedia.com/laptop-specs/hp-envy-17-3115/,Intel Core i7-1165G7,64GB RAM,Intel Iris Xe Graphics G7 (96EU),"17.3”, Full HD (1920 x 1080), IPS",4000GB SSD,$185800,
HP 17,https://laptopmedia.com/laptop-specs/hp-17-14685/,Intel Core i5-1135G7,20GB RAM,Intel Iris Xe Graphics G7 (80EU),"17.3”, Full HD (1920 x 1080), IPS",1000GB SSD,$97900,
HP ENVY x360 15,https://laptopmedia.com/laptop-specs/hp-envy-x360-15-4179/,Intel Core i7-1260P,32GB RAM,Intel Iris Xe Graphics G7 (96EU),"15.6”, Full HD (1920 x 1080), IPS",1000GB SSD,$144999,
Lenovo IdeaPad 3i 14,https://laptopmedia.com/laptop-specs/lenovo-ideapad-3i-14-312/,Intel Core i5-1135G7,36GB RAM,Intel Iris Xe Graphics G7 (80EU),,1000GB SSD,$63900,
HP 17,https://laptopmedia.com/laptop-specs/hp-17-14674/,Intel Core i5-1135G7,8GB RAM,Intel Iris Xe Graphics G7 (80EU),"17.3”, Full HD (1920 x 1080), IPS",256GB SSD,$69999,
